GEO_ID,NAME,P1_001N,P1_001NA
860Z200US00601,ZCTA5 00601,17242,null
860Z200US00602,ZCTA5 00602,37548,null
860Z200US00603,ZCTA5 00603,49804,null
860Z200US00606,ZCTA5 00606,5009,null
860Z200US00610,ZCTA5 00610,25731,null
860Z200US00611,ZCTA5 00611,1671,null
860Z200US00612,ZCTA5 00612,62425,null
860Z200US00616,ZCTA5 00616,9828,null
860Z200US00617,ZCTA5 00617,22541,null
860Z200US00622,ZCTA5 00622,7838,null
860Z200US00623,ZCTA5 00623,39320,null
860Z200US00624,ZCTA5 00624,21709,null
860Z200US00627,ZCTA5 00627,32873,null
860Z200US00631,ZCTA5 00631,1414,null
860Z200US00636,ZCTA5 00636,555,null
860Z200US00637,ZCTA5 00637,23124,null
860Z200US00638,ZCTA5 00638,18109,null
860Z200US00641,ZCTA5 00641,24292,null
860Z200US00646,ZCTA5 00646,36272,null
860Z200US00647,ZCTA5 00647,4611,null
860Z200US00650,ZCTA5 00650,13637,null
860Z200US00652,ZCTA5 00652,4020,null
860Z200US00653,ZCTA5 00653,9244,null
860Z200US00656,ZCTA5 00656,17965,null
860Z200US00659,ZCTA5 00659,37421,null
860Z200US00660,ZCTA5 00660,15448,null
860Z200US00662,ZCTA5 00662,40770,null
860Z200US00664,ZCTA5 00664,15066,null
860Z200US00667,ZCTA5 00667,23522,null
860Z200US00669,ZCTA5 00669,27833,null
860Z200US00670,ZCTA5 00670,8828,null
860Z200US00674,ZCTA5 00674,39345,null
860Z200US00676,ZCTA5 00676,36706,null
860Z200US00677,ZCTA5 00677,15379,null
860Z200US00678,ZCTA5 00678,25410,null
860Z200US00680,ZCTA5 00680,46056,null
860Z200US00682,ZCTA5 00682,28299,null
860Z200US00683,ZCTA5 00683,29788,null
860Z200US00685,ZCTA5 00685,40294,null
860Z200US00687,ZCTA5 00687,28727,null
860Z200US00688,ZCTA5 00688,12443,null
860Z200US00690,ZCTA5 00690,5326,null
860Z200US00692,ZCTA5 00692,32873,null
860Z200US00693,ZCTA5 00693,56095,null
860Z200US00694,ZCTA5 00694,231,null
860Z200US00698,ZCTA5 00698,33774,null
860Z200US00703,ZCTA5 00703,25332,null
860Z200US00704,ZCTA5 00704,6865,null
860Z200US00705,ZCTA5 00705,24467,null
860Z200US00707,ZCTA5 00707,10544,null
860Z200US00714,ZCTA5 00714,15802,null
860Z200US00715,ZCTA5 00715,2299,null
860Z200US00716,ZCTA5 00716,28423,null
860Z200US00717,ZCTA5 00717,14199,null
860Z200US00718,ZCTA5 00718,23290,null
860Z200US00719,ZCTA5 00719,30063,null
860Z200US00720,ZCTA5 00720,20331,null
860Z200US00723,ZCTA5 00723,15983,null
860Z200US00725,ZCTA5 00725,77223,null
860Z200US00727,ZCTA5 00727,54207,null
860Z200US00728,ZCTA5 00728,36675,null
860Z200US00729,ZCTA5 00729,47393,null
860Z200US00730,ZCTA5 00730,30521,null
860Z200US00731,ZCTA5 00731,12292,null
860Z200US00735,ZCTA5 00735,11299,null
860Z200US00736,ZCTA5 00736,45833,null
860Z200US00738,ZCTA5 00738,30706,null
860Z200US00739,ZCTA5 00739,34964,null
860Z200US00740,ZCTA5 00740,1492,null
860Z200US00741,ZCTA5 00741,3526,null
860Z200US00745,ZCTA5 00745,47718,null
860Z200US00751,ZCTA5 00751,19369,null
860Z200US00754,ZCTA5 00754,36673,null
860Z200US00757,ZCTA5 00757,20183,null
860Z200US00765,ZCTA5 00765,8249,null
860Z200US00766,ZCTA5 00766,22354,null
860Z200US00767,ZCTA5 00767,30646,null
860Z200US00769,ZCTA5 00769,34163,null
860Z200US00771,ZCTA5 00771,34761,null
860Z200US00772,ZCTA5 00772,17936,null
860Z200US00773,ZCTA5 00773,17772,null
860Z200US00775,ZCTA5 00775,1792,null
860Z200US00777,ZCTA5 00777,37717,null
860Z200US00778,ZCTA5 00778,40585,null
860Z200US00780,ZCTA5 00780,14934,null
860Z200US00782,ZCTA5 00782,17965,null
860Z200US00783,ZCTA5 00783,34093,null
860Z200US00784,ZCTA5 00784,36313,null
860Z200US00786,ZCTA5 00786,273,null
860Z200US00791,ZCTA5 00791,47260,null
860Z200US00794,ZCTA5 00794,28791,null
860Z200US00795,ZCTA5 00795,43745,null
860Z200US00901,ZCTA5 00901,6218,null
860Z200US00906,ZCTA5 00906,165,null
860Z200US00907,ZCTA5 00907,16864,null
860Z200US00909,ZCTA5 00909,6987,null
860Z200US00911,ZCTA5 00911,7496,null
860Z200US00912,ZCTA5 00912,5786,null
860Z200US00913,ZCTA5 00913,7261,null
860Z200US00915,ZCTA5 00915,25075,null
860Z200US00917,ZCTA5 00917,17319,null
860Z200US00918,ZCTA5 00918,17439,null
860Z200US00920,ZCTA5 00920,14798,null
860Z200US00921,ZCTA5 00921,32062,null
860Z200US00923,ZCTA5 00923,23607,null
860Z200US00924,ZCTA5 00924,49654,null
860Z200US00925,ZCTA5 00925,5501,null
860Z200US00926,ZCTA5 00926,96732,null
860Z200US00927,ZCTA5 00927,14297,null
860Z200US00934,ZCTA5 00934,218,null
860Z200US00949,ZCTA5 00949,67453,null
860Z200US00950,ZCTA5 00950,6,null
860Z200US00951,ZCTA5 00951,430,null
860Z200US00952,ZCTA5 00952,8671,null
860Z200US00953,ZCTA5 00953,66369,null
860Z200US00956,ZCTA5 00956,72353,null
860Z200US00957,ZCTA5 00957,40540,null
860Z200US00959,ZCTA5 00959,43625,null
860Z200US00960,ZCTA5 00960,2891,null
860Z200US00961,ZCTA5 00961,28062,null
860Z200US00962,ZCTA5 00962,19741,null
860Z200US00965,ZCTA5 00965,6168,null
860Z200US00966,ZCTA5 00966,16977,null
860Z200US00968,ZCTA5 00968,3722,null
860Z200US00969,ZCTA5 00969,38838,null
860Z200US00971,ZCTA5 00971,28517,null
860Z200US00976,ZCTA5 00976,59879,null
860Z200US00979,ZCTA5 00979,14929,null
860Z200US00982,ZCTA5 00982,14182,null
860Z200US00983,ZCTA5 00983,31889,null
860Z200US00985,ZCTA5 00985,31250,null
860Z200US00987,ZCTA5 00987,58427,null
860Z200US01001,ZCTA5 01001,16984,null
860Z200US01002,ZCTA5 01002,27558,null
860Z200US01003,ZCTA5 01003,13253,null
860Z200US01005,ZCTA5 01005,4900,null
860Z200US01007,ZCTA5 01007,15423,null
860Z200US01008,ZCTA5 01008,1317,null
860Z200US01009,ZCTA5 01009,980,null
860Z200US01010,ZCTA5 01010,3711,null
860Z200US01011,ZCTA5 01011,1201,null
860Z200US01012,ZCTA5 01012,519,null
860Z200US01013,ZCTA5 01013,23656,null
860Z200US01020,ZCTA5 01020,29781,null
860Z200US01022,ZCTA5 01022,2158,null
860Z200US01026,ZCTA5 01026,1011,null
860Z200US01027,ZCTA5 01027,17896,null
860Z200US01028,ZCTA5 01028,16417,null
860Z200US01029,ZCTA5 01029,714,null
860Z200US01030,ZCTA5 01030,11708,null
860Z200US01031,ZCTA5 01031,1406,null
860Z200US01032,ZCTA5 01032,483,null
860Z200US01033,ZCTA5 01033,6092,null
860Z200US01034,ZCTA5 01034,1977,null
860Z200US01035,ZCTA5 01035,5325,null
860Z200US01036,ZCTA5 01036,4966,null
860Z200US01037,ZCTA5 01037,706,null
860Z200US01038,ZCTA5 01038,2522,null
860Z200US01039,ZCTA5 01039,1511,null
860Z200US01040,ZCTA5 01040,38238,null
860Z200US01050,ZCTA5 01050,2467,null
860Z200US01053,ZCTA5 01053,2031,null
860Z200US01054,ZCTA5 01054,1889,null
860Z200US01056,ZCTA5 01056,21002,null
860Z200US01057,ZCTA5 01057,8152,null
860Z200US01060,ZCTA5 01060,14461,null
860Z200US01062,ZCTA5 01062,10910,null
860Z200US01063,ZCTA5 01063,2106,null
860Z200US01066,ZCTA5 01066,215,null
860Z200US01068,ZCTA5 01068,1904,null
860Z200US01069,ZCTA5 01069,8428,null
860Z200US01070,ZCTA5 01070,577,null
860Z200US01071,ZCTA5 01071,1486,null
860Z200US01072,ZCTA5 01072,1366,null
860Z200US01073,ZCTA5 01073,6224,null
860Z200US01074,ZCTA5 01074,584,null
860Z200US01075,ZCTA5 01075,18168,null
860Z200US01077,ZCTA5 01077,9237,null
860Z200US01079,ZCTA5 01079,701,null
860Z200US01080,ZCTA5 01080,2400,null
860Z200US01081,ZCTA5 01081,1684,null
860Z200US01082,ZCTA5 01082,10565,null
860Z200US01083,ZCTA5 01083,2549,null
860Z200US01084,ZCTA5 01084,185,null
860Z200US01085,ZCTA5 01085,41529,null
860Z200US01088,ZCTA5 01088,598,null
860Z200US01089,ZCTA5 01089,28835,null
860Z200US01092,ZCTA5 01092,1343,null
860Z200US01093,ZCTA5 01093,290,null
860Z200US01094,ZCTA5 01094,60,null
860Z200US01095,ZCTA5 01095,14694,null
860Z200US01096,ZCTA5 01096,2509,null
860Z200US01097,ZCTA5 01097,130,null
860Z200US01098,ZCTA5 01098,1147,null
860Z200US01103,ZCTA5 01103,2545,null
860Z200US01104,ZCTA5 01104,23598,null
860Z200US01105,ZCTA5 01105,12051,null
860Z200US01106,ZCTA5 01106,16165,null
860Z200US01107,ZCTA5 01107,11252,null
860Z200US01108,ZCTA5 01108,27671,null
860Z200US01109,ZCTA5 01109,30968,null
860Z200US01118,ZCTA5 01118,14296,null
860Z200US01119,ZCTA5 01119,14393,null
860Z200US01128,ZCTA5 01128,2647,null
860Z200US01129,ZCTA5 01129,7024,null
860Z200US01144,ZCTA5 01144,0,null
860Z200US01151,ZCTA5 01151,9150,null
860Z200US01201,ZCTA5 01201,45494,null
860Z200US01220,ZCTA5 01220,8166,null
860Z200US01222,ZCTA5 01222,835,null
860Z200US01223,ZCTA5 01223,2430,null
860Z200US01224,ZCTA5 01224,217,null
860Z200US01225,ZCTA5 01225,3258,null
860Z200US01226,ZCTA5 01226,6324,null
860Z200US01229,ZCTA5 01229,189,null
860Z200US01230,ZCTA5 01230,8907,null
860Z200US01235,ZCTA5 01235,2733,null
860Z200US01236,ZCTA5 01236,1513,null
860Z200US01237,ZCTA5 01237,2365,null
860Z200US01238,ZCTA5 01238,5722,null
860Z200US01240,ZCTA5 01240,4692,null
860Z200US01242,ZCTA5 01242,449,null
860Z200US01243,ZCTA5 01243,175,null
860Z200US01244,ZCTA5 01244,287,null
860Z200US01245,ZCTA5 01245,933,null
860Z200US01247,ZCTA5 01247,15147,null
860Z200US01253,ZCTA5 01253,808,null
860Z200US01254,ZCTA5 01254,946,null
860Z200US01255,ZCTA5 01255,959,null
860Z200US01256,ZCTA5 01256,645,null
860Z200US01257,ZCTA5 01257,2140,null
860Z200US01258,ZCTA5 01258,160,null
860Z200US01259,ZCTA5 01259,643,null
860Z200US01260,ZCTA5 01260,233,null
860Z200US01262,ZCTA5 01262,1758,null
860Z200US01264,ZCTA5 01264,219,null
860Z200US01266,ZCTA5 01266,1208,null
860Z200US01267,ZCTA5 01267,7876,null
860Z200US01270,ZCTA5 01270,755,null
860Z200US01301,ZCTA5 01301,18042,null
860Z200US01330,ZCTA5 01330,1500,null
860Z200US01331,ZCTA5 01331,13656,null
860Z200US01337,ZCTA5 01337,2562,null
860Z200US01338,ZCTA5 01338,127,null
860Z200US01339,ZCTA5 01339,1487,null
860Z200US01340,ZCTA5 01340,1803,null
860Z200US01341,ZCTA5 01341,1539,null
860Z200US01342,ZCTA5 01342,1538,null
860Z200US01343,ZCTA5 01343,165,null
860Z200US01344,ZCTA5 01344,1665,null
860Z200US01346,ZCTA5 01346,352,null
860Z200US01347,ZCTA5 01347,204,null
860Z200US01349,ZCTA5 01349,827,null
860Z200US01350,ZCTA5 01350,118,null
860Z200US01351,ZCTA5 01351,2293,null
860Z200US01354,ZCTA5 01354,1546,null
860Z200US01355,ZCTA5 01355,879,null
860Z200US01360,ZCTA5 01360,2871,null
860Z200US01364,ZCTA5 01364,7665,null
860Z200US01366,ZCTA5 01366,1187,null
860Z200US01367,ZCTA5 01367,506,null
860Z200US01368,ZCTA5 01368,1283,null
860Z200US01370,ZCTA5 01370,3932,null
860Z200US01373,ZCTA5 01373,4526,null
860Z200US01375,ZCTA5 01375,3639,null
860Z200US01376,ZCTA5 01376,5324,null
860Z200US01378,ZCTA5 01378,780,null
860Z200US01379,ZCTA5 01379,774,null
860Z200US01380,ZCTA5 01380,82,null
860Z200US01420,ZCTA5 01420,41940,null
860Z200US01430,ZCTA5 01430,6303,null
860Z200US01431,ZCTA5 01431,3193,null
860Z200US01432,ZCTA5 01432,8221,null
860Z200US01434,ZCTA5 01434,1652,null
860Z200US01436,ZCTA5 01436,3208,null
860Z200US01438,ZCTA5 01438,414,null
860Z200US01440,ZCTA5 01440,21577,null
860Z200US01450,ZCTA5 01450,11298,null
860Z200US01451,ZCTA5 01451,5461,null
860Z200US01452,ZCTA5 01452,4328,null
860Z200US01453,ZCTA5 01453,43752,null
860Z200US01460,ZCTA5 01460,10141,null
860Z200US01462,ZCTA5 01462,11818,null
860Z200US01463,ZCTA5 01463,11621,null
860Z200US01464,ZCTA5 01464,7427,null
860Z200US01468,ZCTA5 01468,4309,null
860Z200US01469,ZCTA5 01469,7055,null
860Z200US01473,ZCTA5 01473,8213,null
860Z200US01474,ZCTA5 01474,2072,null
860Z200US01475,ZCTA5 01475,10304,null
860Z200US01501,ZCTA5 01501,16731,null
860Z200US01503,ZCTA5 01503,3158,null
860Z200US01504,ZCTA5 01504,9208,null
860Z200US01505,ZCTA5 01505,4849,null
860Z200US01506,ZCTA5 01506,3439,null
860Z200US01507,ZCTA5 01507,13315,null
860Z200US01510,ZCTA5 01510,15428,null
860Z200US01515,ZCTA5 01515,2224,null
860Z200US01516,ZCTA5 01516,8962,null
860Z200US01518,ZCTA5 01518,3176,null
860Z200US01519,ZCTA5 01519,7254,null
860Z200US01520,ZCTA5 01520,16394,null
860Z200US01521,ZCTA5 01521,2603,null
860Z200US01522,ZCTA5 01522,3464,null
860Z200US01523,ZCTA5 01523,8377,null
860Z200US01524,ZCTA5 01524,6621,null
860Z200US01525,ZCTA5 01525,73,null
860Z200US01527,ZCTA5 01527,13799,null
860Z200US01529,ZCTA5 01529,3174,null
860Z200US01531,ZCTA5 01531,996,null
860Z200US01532,ZCTA5 01532,15741,null
860Z200US01534,ZCTA5 01534,6233,null
860Z200US01535,ZCTA5 01535,4735,null
860Z200US01536,ZCTA5 01536,7514,null
860Z200US01537,ZCTA5 01537,2141,null
860Z200US01540,ZCTA5 01540,11032,null
860Z200US01541,ZCTA5 01541,3495,null
860Z200US01542,ZCTA5 01542,2366,null
860Z200US01543,ZCTA5 01543,9049,null
860Z200US01545,ZCTA5 01545,38316,null
860Z200US01550,ZCTA5 01550,17740,null
860Z200US01560,ZCTA5 01560,4896,null
860Z200US01561,ZCTA5 01561,64,null
860Z200US01562,ZCTA5 01562,11992,null
860Z200US01564,ZCTA5 01564,7985,null
860Z200US01566,ZCTA5 01566,6691,null
860Z200US01568,ZCTA5 01568,7900,null
860Z200US01569,ZCTA5 01569,14193,null
860Z200US01570,ZCTA5 01570,17776,null
860Z200US01571,ZCTA5 01571,11921,null
860Z200US01581,ZCTA5 01581,21567,null
860Z200US01583,ZCTA5 01583,7652,null
860Z200US01585,ZCTA5 01585,4899,null
860Z200US01588,ZCTA5 01588,10106,null
860Z200US01590,ZCTA5 01590,9279,null
860Z200US01602,ZCTA5 01602,25382,null
860Z200US01603,ZCTA5 01603,22417,null
860Z200US01604,ZCTA5 01604,41301,null
860Z200US01605,ZCTA5 01605,29218,null
860Z200US01606,ZCTA5 01606,21651,null
860Z200US01607,ZCTA5 01607,9378,null
860Z200US01608,ZCTA5 01608,4996,null
860Z200US01609,ZCTA5 01609,23870,null
860Z200US01610,ZCTA5 01610,28717,null
860Z200US01611,ZCTA5 01611,2277,null
860Z200US01612,ZCTA5 01612,5051,null
860Z200US01701,ZCTA5 01701,33005,null
860Z200US01702,ZCTA5 01702,39515,null
860Z200US01718,ZCTA5 01718,688,null
860Z200US01719,ZCTA5 01719,5506,null
860Z200US01720,ZCTA5 01720,23232,null
860Z200US01721,ZCTA5 01721,18832,null
860Z200US01730,ZCTA5 01730,14566,null
860Z200US01731,ZCTA5 01731,1555,null
860Z200US01740,ZCTA5 01740,5665,null
860Z200US01741,ZCTA5 01741,5237,null
860Z200US01742,ZCTA5 01742,18545,null
860Z200US01745,ZCTA5 01745,433,null
860Z200US01746,ZCTA5 01746,14996,null
860Z200US01747,ZCTA5 01747,6017,null
860Z200US01748,ZCTA5 01748,18758,null
860Z200US01749,ZCTA5 01749,20092,null
860Z200US01752,ZCTA5 01752,41793,null
