zipcode,population,country
00601,17242,USA
00602,37548,USA
00603,49804,USA
00606,5009,USA
00610,25731,USA
00611,1671,USA
00612,62425,USA
00616,9828,USA
00617,22541,USA
00622,7838,USA
00623,39320,USA
00624,21709,USA
00627,32873,USA
00631,1414,USA
00636,555,USA
00637,23124,USA
00638,18109,USA
00641,24292,USA
00646,36272,USA
00647,4611,USA
00650,13637,USA
00652,4020,USA
00653,9244,USA
00656,17965,USA
00659,37421,USA
00660,15448,USA
00662,40770,USA
00664,15066,USA
00667,23522,USA
00669,27833,USA
00670,8828,USA
00674,39345,USA
00676,36706,USA
00677,15379,USA
00678,25410,USA
00680,46056,USA
00682,28299,USA
00683,29788,USA
00685,40294,USA
00687,28727,USA
00688,12443,USA
00690,5326,USA
00692,32873,USA
00693,56095,USA
00694,231,USA
00698,33774,USA
00703,25332,USA
00704,6865,USA
00705,24467,USA
00707,10544,USA
00714,15802,USA
00715,2299,USA
00716,28423,USA
00717,14199,USA
00718,23290,USA
00719,30063,USA
00720,20331,USA
00723,15983,USA
00725,77223,USA
00727,54207,USA
00728,36675,USA
00729,47393,USA
00730,30521,USA
00731,12292,USA
00735,11299,USA
00736,45833,USA
00738,30706,USA
00739,34964,USA
00740,1492,USA
00741,3526,USA
00745,47718,USA
00751,19369,USA
00754,36673,USA
00757,20183,USA
00765,8249,USA
00766,22354,USA
00767,30646,USA
00769,34163,USA
00771,34761,USA
00772,17936,USA
00773,17772,USA
00775,1792,USA
00777,37717,USA
00778,40585,USA
00780,14934,USA
00782,17965,USA
00783,34093,USA
00784,36313,USA
00786,273,USA
00791,47260,USA
00794,28791,USA
00795,43745,USA
00901,6218,USA
00906,165,USA
00907,16864,USA
00909,6987,USA
00911,7496,USA
00912,5786,USA
00913,7261,USA
00915,25075,USA
00917,17319,USA
00918,17439,USA
00920,14798,USA
00921,32062,USA
00923,23607,USA
00924,49654,USA
00925,5501,USA
00926,96732,USA
00927,14297,USA
00934,218,USA
00949,67453,USA
00950,6,USA
00951,430,USA
00952,8671,USA
00953,66369,USA
00956,72353,USA
00957,40540,USA
00959,43625,USA
00960,2891,USA
00961,28062,USA
00962,19741,USA
00965,6168,USA
00966,16977,USA
00968,3722,USA
00969,38838,USA
00971,28517,USA
00976,59879,USA
00979,14929,USA
00982,14182,USA
00983,31889,USA
00985,31250,USA
00987,58427,USA
01001,16984,USA
01002,27558,USA
01003,13253,USA
01005,4900,USA
01007,15423,USA
01008,1317,USA
01009,980,USA
01010,3711,USA
01011,1201,USA
01012,519,USA
01013,23656,USA
01020,29781,USA
01022,2158,USA
01026,1011,USA
01027,17896,USA
01028,16417,USA
01029,714,USA
01030,11708,USA
01031,1406,USA
01032,483,USA
01033,6092,USA
01034,1977,USA
01035,5325,USA
01036,4966,USA
01037,706,USA
01038,2522,USA
01039,1511,USA
01040,38238,USA
01050,2467,USA
01053,2031,USA
01054,1889,USA
01056,21002,USA
01057,8152,USA
01060,14461,USA
01062,10910,USA
01063,2106,USA
01066,215,USA
01068,1904,USA
01069,8428,USA
01070,577,USA
01071,1486,USA
01072,1366,USA
01073,6224,USA
01074,584,USA
01075,18168,USA
01077,9237,USA
01079,701,USA
01080,2400,USA
01081,1684,USA
01082,10565,USA
01083,2549,USA
01084,185,USA
01085,41529,USA
01088,598,USA
01089,28835,USA
01092,1343,USA
01093,290,USA
01094,60,USA
01095,14694,USA
01096,2509,USA
01097,130,USA
01098,1147,USA
01103,2545,USA
01104,23598,USA
01105,12051,USA
01106,16165,USA
01107,11252,USA
01108,27671,USA
01109,30968,USA
01118,14296,USA
01119,14393,USA
01128,2647,USA
01129,7024,USA
01144,0,USA
01151,9150,USA
01201,45494,USA
01220,8166,USA
01222,835,USA
01223,2430,USA
01224,217,USA
01225,3258,USA
01226,6324,USA
01229,189,USA
01230,8907,USA
01235,2733,USA
01236,1513,USA
01237,2365,USA
01238,5722,USA
01240,4692,USA
01242,449,USA
01243,175,USA
01244,287,USA
01245,933,USA
01247,15147,USA
01253,808,USA
01254,946,USA
01255,959,USA
01256,645,USA
01257,2140,USA
01258,160,USA
01259,643,USA
01260,233,USA
01262,1758,USA
01264,219,USA
01266,1208,USA
01267,7876,USA
01270,755,USA
01301,18042,USA
01330,1500,USA
01331,13656,USA
01337,2562,USA
01338,127,USA
01339,1487,USA
01340,1803,USA
01341,1539,USA
01342,1538,USA
01343,165,USA
01344,1665,USA
01346,352,USA
01347,204,USA
01349,827,USA
01350,118,USA
01351,2293,USA
01354,1546,USA
01355,879,USA
01360,2871,USA
01364,7665,USA
01366,1187,USA
01367,506,USA
01368,1283,USA
01370,3932,USA
01373,4526,USA
01375,3639,USA
01376,5324,USA
01378,780,USA
01379,774,USA
01380,82,USA
01420,41940,USA
01430,6303,USA
01431,3193,USA
01432,8221,USA
01434,1652,USA
01436,3208,USA
01438,414,USA
01440,21577,USA
01450,11298,USA
01451,5461,USA
01452,4328,USA
01453,43752,USA
01460,10141,USA
01462,11818,USA
01463,11621,USA
01464,7427,USA
01468,4309,USA
01469,7055,USA
01473,8213,USA
01474,2072,USA
01475,10304,USA
01501,16731,USA
01503,3158,USA
01504,9208,USA
01505,4849,USA
01506,3439,USA
01507,13315,USA
01510,15428,USA
01515,2224,USA
01516,8962,USA
01518,3176,USA
01519,7254,USA
01520,16394,USA
01521,2603,USA
01522,3464,USA
01523,8377,USA
01524,6621,USA
01525,73,USA
01527,13799,USA
01529,3174,USA
01531,996,USA
01532,15741,USA
01534,6233,USA
01535,4735,USA
01536,7514,USA
01537,2141,USA
01540,11032,USA
01541,3495,USA
01542,2366,USA
01543,9049,USA
01545,38316,USA
01550,17740,USA
01560,4896,USA
01561,64,USA
01562,11992,USA
01564,7985,USA
01566,6691,USA
01568,7900,USA
01569,14193,USA
01570,17776,USA
01571,11921,USA
01581,21567,USA
01583,7652,USA
01585,4899,USA
01588,10106,USA
01590,9279,USA
01602,25382,USA
01603,22417,USA
01604,41301,USA
01605,29218,USA
01606,21651,USA
01607,9378,USA
01608,4996,USA
01609,23870,USA
01610,28717,USA
01611,2277,USA
01612,5051,USA
01701,33005,USA
01702,39515,USA
01718,688,USA
01719,5506,USA
01720,23232,USA
01721,18832,USA
01730,14566,USA
01731,1555,USA
01740,5665,USA
01741,5237,USA
01742,18545,USA
01745,433,USA
01746,14996,USA
01747,6017,USA
01748,18758,USA
01749,20092,USA
01752,41793,USA
01754,10730,USA
01756,6228,USA
01757,30479,USA
01760,36659,USA
01770,4401,USA
01772,10017,USA
01773,5651,USA
01775,7190,USA
01776,18934,USA
01778,14132,USA
01801,40891,USA
01803,26074,USA
01810,35621,USA
01821,30909,USA
01824,26881,USA
01826,32689,USA
01827,3358,USA
01830,27553,USA
01832,25656,USA
01833,8410,USA
01834,6752,USA
01835,14578,USA
01840,7121,USA
01841,53654,USA
01843,28346,USA
01844,52970,USA
01845,31855,USA
01850,16670,USA
01851,32691,USA
01852,36708,USA
01854,29561,USA
01860,6723,USA
01862,11430,USA
01863,9536,USA
01864,15554,USA
01867,25522,USA
01876,31105,USA
01879,12368,USA
01880,27071,USA
01886,24618,USA
01887,23349,USA
01890,22970,USA
01901,2794,USA
01902,50725,USA
01904,19944,USA
01905,27761,USA
01906,28619,USA
01907,15148,USA
01908,3334,USA
01913,17366,USA
01915,42341,USA
01921,8263,USA
01922,3134,USA
01923,27987,USA
01929,3618,USA
01930,29729,USA
01937,100,USA
01938,13785,USA
01940,13326,USA
01944,5395,USA
01945,20462,USA
01949,9779,USA
01950,18289,USA
01951,3582,USA
01952,9236,USA
01960,54155,USA
01965,329,USA
01966,6992,USA
01969,6161,USA
01970,44451,USA
01982,7618,USA
01983,6569,USA
01984,4979,USA
01985,4500,USA
02019,16945,USA
02021,24370,USA
02025,8381,USA
02026,25364,USA
02030,5923,USA
02032,4853,USA
02035,18618,USA
02038,33261,USA
02043,24272,USA
02045,10072,USA
02047,371,USA
02048,23860,USA
02050,25956,USA
02052,12799,USA
02053,13115,USA
