zipcode,population,country
02054,8460,USA
02056,11662,USA
02061,11351,USA
02062,31611,USA
02066,18561,USA
02067,18553,USA
02071,968,USA
02072,29281,USA
02081,20584,USA
02090,16266,USA
02093,12178,USA
02108,4228,USA
02109,3921,USA
02110,2921,USA
02111,9716,USA
02113,7126,USA
02114,14469,USA
02115,31604,USA
02116,23408,USA
02118,29073,USA
02119,29175,USA
02120,17578,USA
02121,28766,USA
02122,24385,USA
02124,50972,USA
02125,34926,USA
02126,22734,USA
02127,37939,USA
02128,43066,USA
02129,19120,USA
02130,38284,USA
02131,30544,USA
02132,27111,USA
02133,56,USA
02134,21707,USA
02135,47232,USA
02136,35102,USA
02138,37982,USA
02139,39525,USA
02140,21447,USA
02141,15130,USA
02142,4499,USA
02143,26022,USA
02144,25497,USA
02145,27520,USA
02148,66274,USA
02149,49075,USA
02150,40721,USA
02151,62252,USA
02152,19316,USA
02155,61483,USA
02163,1391,USA
02169,62140,USA
02170,19950,USA
02171,19539,USA
02176,29817,USA
02180,23244,USA
02184,39143,USA
02186,28637,USA
02188,15133,USA
02189,15123,USA
02190,18910,USA
02191,8271,USA
02199,1574,USA
02203,0,USA
02205,10,USA
02210,5808,USA
02215,26926,USA
02301,69418,USA
02302,36202,USA
02322,4777,USA
02324,25676,USA
02325,3025,USA
02330,11645,USA
02332,16090,USA
02333,14382,USA
02338,7749,USA
02339,14833,USA
02341,10367,USA
02343,11364,USA
02346,24245,USA
02347,11523,USA
02350,272,USA
02351,17085,USA
02356,12767,USA
02357,1906,USA
02359,18361,USA
02360,61134,USA
02364,13708,USA
02366,83,USA
02367,2930,USA
02368,35025,USA
02370,17803,USA
02375,10373,USA
02379,7697,USA
02382,15121,USA
02420,15502,USA
02421,18950,USA
02445,22499,USA
02446,31957,USA
02451,17953,USA
02452,15340,USA
02453,31854,USA
02457,1560,USA
02458,12817,USA
02459,19017,USA
02460,9204,USA
02461,7430,USA
02462,1569,USA
02464,3193,USA
02465,12415,USA
02466,8434,USA
02467,22626,USA
02468,5713,USA
02472,35392,USA
02474,28551,USA
02476,17757,USA
02478,27286,USA
02481,17280,USA
02482,10710,USA
02492,21359,USA
02493,11851,USA
02494,10732,USA
02532,13411,USA
02534,899,USA
02535,1651,USA
02536,19993,USA
02537,6178,USA
02538,4428,USA
02539,5168,USA
02540,8450,USA
02542,793,USA
02543,756,USA
02553,164,USA
02554,13517,USA
02556,3338,USA
02557,2372,USA
02558,2178,USA
02559,3388,USA
02561,712,USA
02562,3204,USA
02563,10070,USA
02564,703,USA
02568,8172,USA
02571,10858,USA
02575,3167,USA
02576,3957,USA
02584,35,USA
02601,16487,USA
02630,1956,USA
02631,10178,USA
02632,11475,USA
02633,4664,USA
02635,3632,USA
02637,267,USA
02638,2968,USA
02639,3238,USA
02641,332,USA
02642,5752,USA
02643,13,USA
02644,3954,USA
02645,10436,USA
02646,1926,USA
02647,136,USA
02648,7325,USA
02649,15060,USA
02650,829,USA
02652,1402,USA
02653,6307,USA
02655,3591,USA
02657,3664,USA
02659,1100,USA
02660,6662,USA
02663,257,USA
02664,9935,USA
02666,1052,USA
02667,3309,USA
02668,3222,USA
02670,1463,USA
02671,1216,USA
02672,297,USA
02673,8892,USA
02675,6712,USA
02702,4267,USA
02703,46389,USA
02713,39,USA
02715,4036,USA
02717,4951,USA
02718,6882,USA
02719,15924,USA
02720,31209,USA
02721,28075,USA
02723,16084,USA
02724,18050,USA
02725,2632,USA
02726,15671,USA
02738,5347,USA
02739,6508,USA
02740,45166,USA
02743,10434,USA
02744,13055,USA
02745,25336,USA
02746,17355,USA
02747,22326,USA
02748,11888,USA
02760,28716,USA
02762,9945,USA
02763,2118,USA
02764,4081,USA
02766,19202,USA
02767,15376,USA
02769,12521,USA
02770,5560,USA
02771,15512,USA
02777,17133,USA
02779,6764,USA
02780,52299,USA
02790,16458,USA
02791,312,USA
02802,814,USA
02804,2782,USA
02806,17153,USA
02807,1410,USA
02808,2332,USA
02809,22493,USA
02812,1220,USA
02813,8021,USA
02814,7549,USA
02815,247,USA
02816,33206,USA
02817,6528,USA
02818,19907,USA
02822,5960,USA
02823,151,USA
02824,404,USA
02825,5265,USA
02826,822,USA
02827,2224,USA
02828,7469,USA
02829,122,USA
02830,6474,USA
02831,3860,USA
02832,4887,USA
02833,469,USA
02835,5559,USA
02836,158,USA
02837,3616,USA
02838,3801,USA
02839,1870,USA
02840,23902,USA
02841,1220,USA
02842,17115,USA
02852,23579,USA
02857,8339,USA
02858,580,USA
02859,6701,USA
02860,47894,USA
02861,27833,USA
02863,22596,USA
02864,36376,USA
02865,17902,USA
02871,17640,USA
02872,231,USA
02873,266,USA
02874,6137,USA
02875,350,USA
02876,753,USA
02878,16359,USA
02879,20982,USA
02881,8443,USA
02882,12919,USA
02885,11147,USA
02886,29373,USA
02888,19578,USA
02889,28277,USA
02891,21803,USA
02892,5420,USA
02893,31030,USA
02894,814,USA
02895,43269,USA
02896,11154,USA
02898,1887,USA
02903,13264,USA
02904,31542,USA
02905,26334,USA
02906,25559,USA
02907,29827,USA
02908,38507,USA
02909,46119,USA
02910,21907,USA
02911,16384,USA
02912,4739,USA
02914,22140,USA
02915,16603,USA
02916,8350,USA
02917,14738,USA
02918,3125,USA
02919,29473,USA
02920,37791,USA
02921,12406,USA
03031,11763,USA
03032,5930,USA
03033,5639,USA
03034,4066,USA
03036,5251,USA
03037,4802,USA
03038,34482,USA
03042,7146,USA
03043,1610,USA
03044,4739,USA
03045,14107,USA
03046,3005,USA
03047,1727,USA
03048,3353,USA
03049,8342,USA
03051,25394,USA
03052,8478,USA
03053,25646,USA
03054,26622,USA
03055,16120,USA
03057,2612,USA
03060,31251,USA
03062,28966,USA
03063,16036,USA
03064,15069,USA
03070,6134,USA
03071,5198,USA
03076,14222,USA
03077,10684,USA
03079,30095,USA
03082,1621,USA
03084,1382,USA
03086,3982,USA
03087,15817,USA
03101,3885,USA
03102,33396,USA
03103,38039,USA
03104,34324,USA
03106,14799,USA
03109,10580,USA
03110,23322,USA
03215,510,USA
03216,2327,USA
03217,1938,USA
03218,1116,USA
03220,7368,USA
03221,2307,USA
03222,5743,USA
03223,3410,USA
03224,2368,USA
03225,3799,USA
03226,1145,USA
03227,1113,USA
03229,5919,USA
03230,1256,USA
03231,85,USA
03233,115,USA
03234,4817,USA
03235,8856,USA
03237,2478,USA
03238,44,USA
03240,1385,USA
03241,953,USA
03242,6185,USA
03243,1076,USA
03244,8001,USA
03245,2017,USA
03246,16905,USA
03249,7698,USA
03251,1631,USA
03253,6558,USA
03254,4910,USA
03255,2158,USA
03256,2373,USA
03257,4513,USA
03258,2625,USA
03259,236,USA
03260,798,USA
03261,4685,USA
03262,1362,USA
03263,4094,USA
03264,7054,USA
03266,2098,USA
03268,1236,USA
03269,3026,USA
03273,259,USA
03275,11946,USA
03276,8766,USA
03278,3126,USA
03279,781,USA
03280,1195,USA
03281,9092,USA
03282,845,USA
03284,902,USA
03285,2708,USA
03287,1407,USA
03290,5129,USA
03291,73,USA
03293,72,USA
03301,33352,USA
03303,16516,USA
03304,8229,USA
03307,5600,USA
03431,24978,USA
03440,2726,USA
03441,354,USA
03442,1501,USA
03443,616,USA
03444,1508,USA
03445,666,USA
03446,6351,USA
03447,2351,USA
03448,752,USA
03449,1763,USA
03450,975,USA
03451,3948,USA
03452,5320,USA
03455,2132,USA
03456,749,USA
03457,803,USA
03458,6794,USA
03461,6476,USA
03462,1710,USA
03464,1194,USA
03465,2130,USA
03466,1226,USA
03467,1706,USA
03470,4993,USA
03561,6005,USA
03570,9429,USA
03574,2514,USA
03575,107,USA
03576,2939,USA
03579,458,USA
03580,1344,USA
03581,3053,USA
03582,2337,USA
03583,1038,USA
03584,3490,USA
03585,2626,USA
03586,654,USA
03588,1664,USA
03590,910,USA
03592,1094,USA
03593,329,USA
03595,713,USA
03597,374,USA
03598,3393,USA
03601,376,USA
03602,2599,USA
03603,5127,USA
03604,15,USA
03605,1104,USA
03607,314,USA
03608,2811,USA
03609,807,USA
03740,1071,USA
03741,4071,USA
03743,13540,USA
03745,1616,USA
03748,4626,USA
03750,938,USA
03751,399,USA
03752,784,USA
03753,3476,USA
03755,10926,USA
03765,487,USA
03766,9838,USA
03768,1736,USA
03770,583,USA
03771,864,USA
03773,7801,USA
03774,1808,USA
03777,1237,USA
03779,769,USA
03780,475,USA
03781,1876,USA
03782,3030,USA
03784,4444,USA
03785,2245,USA
03801,22767,USA
03809,3644,USA
03810,2246,USA
03811,7081,USA
03812,936,USA
03813,3681,USA
03814,2357,USA
03816,1304,USA
03817,452,USA
03818,3478,USA
03819,4208,USA
03820,32800,USA
03823,1928,USA
03824,15498,USA
03825,9326,USA
03826,2693,USA
03827,3307,USA
03830,1611,USA
03832,405,USA
03833,22662,USA
03835,6758,USA
03836,1689,USA
03837,1471,USA
03838,1150,USA
03839,4058,USA
03840,4076,USA
03841,6486,USA
03842,16048,USA
03844,2428,USA
03845,1093,USA
03846,995,USA
03847,326,USA
03848,6202,USA
03849,1446,USA
03850,340,USA
03851,3891,USA
03852,591,USA
03853,769,USA
03854,1000,USA
03855,2693,USA
03856,1769,USA
03857,9430,USA
03858,4820,USA
03860,3910,USA
03861,4499,USA
03862,4597,USA
03864,1999,USA
03865,7830,USA
03867,22369,USA
03868,6065,USA
03869,2456,USA
03870,5234,USA
03871,250,USA
03872,3981,USA
03873,6557,USA
03874,8542,USA
03875,973,USA
03878,11919,USA
03882,1682,USA
03883,300,USA
03884,4230,USA
03885,7660,USA
03886,1977,USA
03887,2151,USA
03890,177,USA
03894,6382,USA
03897,55,USA
03901,7937,USA
03902,2362,USA
03903,6717,USA
03904,8148,USA
03905,1922,USA
03906,4990,USA
03907,1577,USA
03908,7468,USA
03909,10938,USA
03910,116,USA
03911,307,USA
04001,2665,USA
04002,7589,USA
04003,363,USA
04005,24581,USA
04006,100,USA
04008,3047,USA
04009,5298,USA
04010,1631,USA
04011,21756,USA
04015,3646,USA
04017,396,USA
04019,72,USA
04020,1508,USA
04021,6729,USA
04022,1197,USA
04024,572,USA
04027,6469,USA
04029,1917,USA
04030,2239,USA
04032,8737,USA
04037,3762,USA
04038,18336,USA
04039,7922,USA
04040,2853,USA
04041,1609,USA
04042,4745,USA
04043,11536,USA
04046,7893,USA
04047,1791,USA
04048,3188,USA
04049,3892,USA
04050,234,USA
04051,1095,USA
04055,3925,USA
04056,167,USA
04057,120,USA
04061,3437,USA
04062,18464,USA
04063,508,USA
04064,8452,USA
04066,579,USA
04068,1600,USA
04069,1566,USA
04071,4915,USA
04072,20381,USA
04073,17283,USA
04074,21952,USA
04076,2927,USA
04079,4089,USA
04083,4699,USA
04084,8253,USA
04085,1991,USA
04086,9560,USA
04087,2269,USA
04088,1533,USA
04090,11314,USA
04091,942,USA
04092,20400,USA
04093,8376,USA
04095,1481,USA
04096,8990,USA
04097,4072,USA
04101,18109,USA
04102,18002,USA
04103,31185,USA
04105,12406,USA
04106,26641,USA
04107,9575,USA
04108,907,USA
04109,133,USA
04110,1752,USA
04210,24061,USA
04216,666,USA
04217,3283,USA
04219,1544,USA
04220,3186,USA
04221,1125,USA
04222,4173,USA
04224,2746,USA
04226,88,USA
04227,22,USA
04231,276,USA
04234,27,USA
04236,4376,USA
04237,286,USA
04238,1223,USA
04239,4620,USA
04240,37121,USA
04250,4813,USA
04252,4876,USA
04253,2127,USA
04254,3060,USA
04255,730,USA
04256,3107,USA
04257,2756,USA
04258,2766,USA
04259,3179,USA
04260,5676,USA
04261,488,USA
04263,2262,USA
04265,903,USA
04267,31,USA
04268,5077,USA
04270,6082,USA
04271,44,USA
04274,5906,USA
04275,464,USA
04276,5858,USA
04280,6674,USA
04281,5135,USA
04282,5817,USA
04284,1113,USA
04285,376,USA
04286,8,USA
04287,3136,USA
04289,1775,USA
04290,1488,USA
04292,986,USA
04294,3862,USA
04330,26322,USA
04341,70,USA
04342,1725,USA
04344,2995,USA
04345,12052,USA
04346,1743,USA
04347,2570,USA
04348,3152,USA
04349,1160,USA
04350,3586,USA
04351,2462,USA
04352,1721,USA
04353,2338,USA
04354,1570,USA
04355,2597,USA
04357,3522,USA
04358,4373,USA
04359,455,USA
04360,578,USA
04363,2632,USA
04364,6115,USA
04401,44608,USA
04406,751,USA
04408,201,USA
04410,1184,USA
04411,1532,USA
04412,9672,USA
04413,147,USA
04414,1104,USA
04415,266,USA
04416,5451,USA
04417,395,USA
04418,1720,USA
04419,2863,USA
04421,1320,USA
04422,1551,USA
04424,839,USA
04426,4841,USA
04427,2900,USA
04428,3034,USA
04429,4925,USA
04430,1567,USA
04431,18,USA
04434,1230,USA
04435,963,USA
04438,1231,USA
04441,1632,USA
04442,101,USA
04443,2173,USA
04444,9304,USA
04448,1265,USA
04449,1373,USA
04450,1346,USA
04451,199,USA
04453,725,USA
04454,62,USA
04455,916,USA
04456,2940,USA
04457,5689,USA
04459,669,USA
04460,1236,USA
04461,3069,USA
04462,4411,USA
04463,2766,USA
04464,603,USA
04468,8801,USA
04469,3113,USA
04471,624,USA
04472,2203,USA
04473,8070,USA
04474,3812,USA
04475,356,USA
04476,1128,USA
04478,272,USA
04479,1306,USA
04481,665,USA
04485,251,USA
04487,778,USA
04488,1186,USA
04489,197,USA
04490,208,USA
04491,107,USA
04492,132,USA
04493,1803,USA
04495,399,USA
04496,3817,USA
04497,307,USA
04530,11153,USA
04535,710,USA
04537,2000,USA
04538,1729,USA
04539,1227,USA
04541,44,USA
04543,2297,USA
04544,695,USA
04547,1142,USA
04548,1058,USA
04551,823,USA
04553,1848,USA
04554,649,USA
04555,1791,USA
04556,1188,USA
04558,409,USA
04562,2155,USA
04563,1502,USA
04564,505,USA
04568,461,USA
04570,16,USA
04571,308,USA
04572,5154,USA
04573,666,USA
04574,1592,USA
04575,298,USA
04576,606,USA
04578,4461,USA
04579,3068,USA
04605,13651,USA
04606,1148,USA
04607,1224,USA
04609,5089,USA
04611,443,USA
04612,590,USA
04613,121,USA
04614,2792,USA
04616,827,USA
04617,724,USA
04619,3079,USA
04622,1310,USA
04623,943,USA
04624,211,USA
04625,64,USA
04626,524,USA
04627,1937,USA
04628,672,USA
04630,1364,USA
04631,1288,USA
04634,1998,USA
04635,27,USA
04640,2421,USA
04642,201,USA
04643,962,USA
04645,92,USA
04646,96,USA
04648,567,USA
04649,1245,USA
04650,256,USA
04652,1536,USA
04653,575,USA
04654,3312,USA
04655,962,USA
04657,344,USA
04658,1375,USA
04660,1414,USA
04662,460,USA
04664,1219,USA
04666,1125,USA
04667,1494,USA
04668,1765,USA
04669,169,USA
04671,539,USA
04673,144,USA
04674,379,USA
04675,272,USA
04676,1076,USA
04677,279,USA
04679,1756,USA
04680,1129,USA
04681,1056,USA
04683,1,USA
04684,1632,USA
04685,355,USA
04686,135,USA
04691,460,USA
04693,461,USA
04694,2137,USA
04730,9813,USA
04732,1506,USA
04733,163,USA
04734,739,USA
04735,541,USA
04736,9033,USA
04737,0,USA
04739,993,USA
04740,1320,USA
04742,3322,USA
04743,4625,USA
04745,1052,USA
04746,366,USA
04747,1281,USA
04750,1817,USA
04756,3134,USA
04757,2777,USA
04758,1370,USA
04760,748,USA
04761,590,USA
04762,577,USA
04763,661,USA
04764,42,USA
04765,1122,USA
04766,371,USA
04768,366,USA
04769,8797,USA
04772,730,USA
04773,780,USA
04774,675,USA
04776,907,USA
04777,387,USA
04779,446,USA
04780,733,USA
04781,534,USA
04783,473,USA
04785,2323,USA
04786,1756,USA
04787,445,USA
04841,6936,USA
04843,5241,USA
04847,1698,USA
04848,583,USA
04849,3862,USA
04851,53,USA
04852,64,USA
04853,408,USA
04854,1517,USA
04855,163,USA
04856,3644,USA
04858,1497,USA
04859,645,USA
04860,1800,USA
04861,2739,USA
04862,3794,USA
04863,1279,USA
04864,4865,USA
04901,26491,USA
04910,2006,USA
04911,1918,USA
04912,982,USA
04915,9110,USA
04917,3259,USA
04918,11,USA
04920,1602,USA
04921,1620,USA
04922,1096,USA
04923,443,USA
04924,2193,USA
04925,87,USA
04926,35,USA
04927,3370,USA
04928,2221,USA
04929,885,USA
04930,4287,USA
04932,1211,USA
04936,257,USA
04937,6363,USA
04938,9592,USA
04939,1026,USA
04940,60,USA
04941,1731,USA
04942,1121,USA
04943,1705,USA
04944,68,USA
04945,1125,USA
04947,1717,USA
04949,934,USA
04950,4726,USA
04951,931,USA
04952,1947,USA
04953,3139,USA
04955,1448,USA
04956,721,USA
04957,3987,USA
04958,1868,USA
04961,1008,USA
04963,7358,USA
04964,265,USA
04965,1924,USA
04966,1527,USA
04967,3908,USA
04969,1319,USA
04970,1632,USA
04971,2045,USA
04973,1400,USA
04974,2649,USA
04975,53,USA
04976,9937,USA
04978,925,USA
04979,978,USA
04981,2231,USA
04982,581,USA
04983,1665,USA
04984,527,USA
04985,122,USA
04986,1585,USA
04987,1018,USA
04988,2328,USA
04989,4520,USA
04992,66,USA
05001,8674,USA
05009,0,USA
05030,69,USA
05031,71,USA
05032,2631,USA
05033,2973,USA
05034,290,USA
05035,641,USA
05036,940,USA
05037,880,USA
05038,1328,USA
05039,995,USA
05040,528,USA
05041,229,USA
05042,599,USA
05043,998,USA
05045,1686,USA
05046,1164,USA
05048,2465,USA
05050,130,USA
05051,1166,USA
05052,341,USA
05053,289,USA
05055,3503,USA
05056,406,USA
05058,217,USA
05059,1357,USA
05060,4590,USA
05061,1746,USA
05062,675,USA
05065,1096,USA
05067,249,USA
05068,3172,USA
05069,673,USA
05070,460,USA
05071,307,USA
05072,509,USA
05073,22,USA
05075,1254,USA
05076,468,USA
05077,1158,USA
05079,703,USA
05081,871,USA
05083,194,USA
05084,85,USA
05086,857,USA
05088,783,USA
05089,4975,USA
05091,3320,USA
05101,4139,USA
05141,60,USA
05142,751,USA
05143,4698,USA
05146,621,USA
05148,1423,USA
05149,2408,USA
05150,854,USA
05151,1334,USA
05152,533,USA
05153,799,USA
05154,481,USA
05155,933,USA
05156,8911,USA
05158,935,USA
05161,590,USA
05201,14370,USA
05250,3550,USA
05251,1564,USA
05252,361,USA
05253,636,USA
05254,476,USA
05255,4018,USA
05257,3080,USA
05260,373,USA
05261,2364,USA
05262,2366,USA
05301,16681,USA
05340,1167,USA
05341,485,USA
05342,658,USA
05343,986,USA
05344,807,USA
05345,1721,USA
05346,5126,USA
05350,706,USA
05351,282,USA
05352,857,USA
05353,1128,USA
05354,2183,USA
05355,732,USA
05356,1313,USA
05358,248,USA
05359,569,USA
05360,337,USA
05361,864,USA
05362,257,USA
05363,2380,USA
05401,32059,USA
05403,20166,USA
05404,7981,USA
05405,2351,USA
05408,10425,USA
05439,1455,USA
05440,2106,USA
05441,542,USA
05442,358,USA
05443,6387,USA
05444,1948,USA
05445,3912,USA
05446,16081,USA
05447,141,USA
05448,1150,USA
05450,5280,USA
05452,22153,USA
05454,5167,USA
05455,1219,USA
05456,1137,USA
05457,1577,USA
05458,2152,USA
05459,1699,USA
05461,4923,USA
05462,1856,USA
05463,488,USA
05464,2975,USA
05465,5587,USA
05468,13369,USA
05471,816,USA
05472,1787,USA
05473,1470,USA
05474,939,USA
05476,3185,USA
05477,4551,USA
05478,15704,USA
05481,16,USA
05482,7751,USA
05483,1653,USA
05485,20,USA
05486,1608,USA
05487,1507,USA
05488,7945,USA
05489,3355,USA
05491,5784,USA
05492,771,USA
05494,1754,USA
05495,10897,USA
05602,12235,USA
05640,110,USA
05641,16709,USA
05647,1064,USA
05648,464,USA
05649,494,USA
05650,1124,USA
05651,1503,USA
05652,818,USA
05653,520,USA
05654,1239,USA
05655,3020,USA
05656,3566,USA
05658,1502,USA
05660,1841,USA
05661,5881,USA
05663,6559,USA
05664,92,USA
05666,37,USA
05667,2235,USA
05669,564,USA
05670,35,USA
05672,5238,USA
05673,2680,USA
05674,1977,USA
